id	linkedTargets
CHEMBL1082607	ENSG00000169252
CHEMBL1088751	ENSG00000112062
CHEMBL1339	ENSG00000138735
CHEMBL1601669	ENSG00000111424
CHEMBL1743037	ENSG00000149294
CHEMBL1743037	ENSG00000188229
CHEMBL1743037	ENSG00000101162
CHEMBL1743037	ENSG00000198033
CHEMBL1743037	ENSG00000127824
CHEMBL1743037	ENSG00000258947
CHEMBL1743037	ENSG00000167552
CHEMBL1743037	ENSG00000104833
CHEMBL1743037	ENSG00000261456
CHEMBL1743037	ENSG00000196230
CHEMBL1743037	ENSG00000123416
CHEMBL1743037	ENSG00000167553
CHEMBL1743037	ENSG00000152086
CHEMBL1743037	ENSG00000137267
CHEMBL1743037	ENSG00000137285
CHEMBL1743037	ENSG00000176014
CHEMBL190	ENSG00000163485
CHEMBL190	ENSG00000170425
CHEMBL190	ENSG00000282608
CHEMBL190	ENSG00000128271
CHEMBL190	ENSG00000172572
CHEMBL190	ENSG00000152270
CHEMBL190	ENSG00000065989
CHEMBL190	ENSG00000113448
CHEMBL190	ENSG00000184588
CHEMBL190	ENSG00000105650
CHEMBL2107016	ENSG00000174417
CHEMBL2107818	ENSG00000131747
CHEMBL2108790	ENSG00000110448
CHEMBL3545177	ENSG00000097007
CHEMBL3545177	ENSG00000197122
CHEMBL3545282	ENSG00000112062
CHEMBL3707380	ENSG00000169432
CHEMBL3945728	ENSG00000074416
CHEMBL3989972	ENSG00000112541
CHEMBL4297431	ENSG00000140675
CHEMBL4594217	ENSG00000140675
CHEMBL476960	ENSG00000257335
CHEMBL476960	ENSG00000171298
CHEMBL476960	ENSG00000090402
CHEMBL476960	ENSG00000257743
CHEMBL557555	ENSG00000186951
CHEMBL641	ENSG00000103546
CHEMBL677	ENSG00000150594
CHEMBL677	ENSG00000184160
CHEMBL677	ENSG00000274286
CHEMBL1134	ENSG00000138435
CHEMBL1134	ENSG00000196811
CHEMBL1134	ENSG00000170175
CHEMBL1134	ENSG00000135902
CHEMBL1134	ENSG00000108556
CHEMBL1200722	ENSG00000138435
CHEMBL1200722	ENSG00000196811
CHEMBL1200722	ENSG00000170175
CHEMBL1200722	ENSG00000135902
CHEMBL1200722	ENSG00000108556
CHEMBL1201338	ENSG00000133019
CHEMBL1206	ENSG00000168539
CHEMBL12713	ENSG00000102468
CHEMBL12713	ENSG00000147246
CHEMBL12713	ENSG00000120907
CHEMBL12713	ENSG00000171873
CHEMBL12713	ENSG00000170214
CHEMBL12713	ENSG00000149295
CHEMBL1680	ENSG00000162009
CHEMBL1680	ENSG00000180616
CHEMBL1680	ENSG00000132671
CHEMBL1680	ENSG00000139874
CHEMBL1680	ENSG00000278195
CHEMBL2109204	ENSG00000117601
CHEMBL2109500	ENSG00000243772
CHEMBL2109500	ENSG00000125498
CHEMBL2109500	ENSG00000275546
CHEMBL2109531	ENSG00000186827
CHEMBL2364605	ENSG00000125510
CHEMBL2364605	ENSG00000082556
CHEMBL2364605	ENSG00000116329
CHEMBL2364605	ENSG00000112038
CHEMBL26	ENSG00000149295
CHEMBL284483	ENSG00000196839
CHEMBL325424	ENSG00000106366
CHEMBL3408248	ENSG00000171608
CHEMBL3408248	ENSG00000051382
CHEMBL3545017	ENSG00000091831
CHEMBL3545245	ENSG00000051382
CHEMBL3545245	ENSG00000121879
CHEMBL3989514	ENSG00000198900
CHEMBL4297621	ENSG00000036828
CHEMBL4297644	ENSG00000097046
CHEMBL439849	ENSG00000108576
CHEMBL439849	ENSG00000178394
CHEMBL4650283	ENSG00000122025
CHEMBL4650289	ENSG00000141736
CHEMBL4650289	ENSG00000146648
CHEMBL4650289	ENSG00000178568
CHEMBL4650289	ENSG00000065361
CHEMBL490	ENSG00000108576
CHEMBL786	ENSG00000091831
CHEMBL80	ENSG00000082556
CHEMBL80	ENSG00000116329
CHEMBL80	ENSG00000112038
CHEMBL101	ENSG00000073756
CHEMBL101	ENSG00000095303
CHEMBL1027	ENSG00000157103
CHEMBL1054	ENSG00000070915
CHEMBL1075	ENSG00000144285
CHEMBL1075	ENSG00000183873
CHEMBL1075	ENSG00000007314
CHEMBL1075	ENSG00000136546
CHEMBL1075	ENSG00000136531
CHEMBL1075	ENSG00000169432
CHEMBL1075	ENSG00000153253
CHEMBL1075	ENSG00000168356
CHEMBL1075	ENSG00000196876
CHEMBL1075	ENSG00000185313
CHEMBL1138	ENSG00000015520
CHEMBL1200750	ENSG00000196639
CHEMBL1237055	ENSG00000112038
CHEMBL1256786	ENSG00000169252
CHEMBL1257015	ENSG00000059377
CHEMBL1257015	ENSG00000006638
CHEMBL1743066	ENSG00000120235
CHEMBL1743066	ENSG00000120242
CHEMBL1743066	ENSG00000147873
CHEMBL1743066	ENSG00000186803
CHEMBL1743066	ENSG00000188379
CHEMBL1743066	ENSG00000197919
CHEMBL1743066	ENSG00000233816
CHEMBL1743066	ENSG00000214042
CHEMBL1743066	ENSG00000137080
CHEMBL1743066	ENSG00000147885
CHEMBL1743066	ENSG00000228083
CHEMBL1743066	ENSG00000234829
CHEMBL1743066	ENSG00000236637
CHEMBL2040682	ENSG00000113580
CHEMBL2103832	ENSG00000178394
CHEMBL2103832	ENSG00000149295
CHEMBL2103832	ENSG00000151577
CHEMBL2103842	ENSG00000146648
CHEMBL2103842	ENSG00000141736
CHEMBL2108973	ENSG00000171105
CHEMBL2109460	ENSG00000136634
CHEMBL2109470	ENSG00000112115
CHEMBL2146133	ENSG00000105675
CHEMBL2146133	ENSG00000186009
CHEMBL3188993	ENSG00000149295
CHEMBL3188993	ENSG00000147246
CHEMBL3188993	ENSG00000102468
CHEMBL3544923	ENSG00000105388
CHEMBL356388	ENSG00000166206
CHEMBL3905910	ENSG00000135446
CHEMBL41	ENSG00000108576
CHEMBL4297744	ENSG00000168028
CHEMBL4297744	ENSG00000177954
CHEMBL4297744	ENSG00000137154
CHEMBL4297744	ENSG00000140988
CHEMBL4297744	ENSG00000149273
CHEMBL4297744	ENSG00000145425
CHEMBL4297744	ENSG00000198034
CHEMBL4297744	ENSG00000129824
CHEMBL4297744	ENSG00000083845
CHEMBL4297744	ENSG00000171863
CHEMBL4297744	ENSG00000142937
CHEMBL4297744	ENSG00000170889
CHEMBL4297744	ENSG00000124614
CHEMBL4297744	ENSG00000142534
CHEMBL4297744	ENSG00000112306
CHEMBL4297744	ENSG00000110700
CHEMBL4297744	ENSG00000164587
CHEMBL4297744	ENSG00000115268
CHEMBL4297744	ENSG00000134419
CHEMBL4297744	ENSG00000105193
CHEMBL4297744	ENSG00000182774
CHEMBL4297744	ENSG00000231500
CHEMBL4297744	ENSG00000105372
CHEMBL4297744	ENSG00000008988
CHEMBL4297744	ENSG00000171858
CHEMBL4297744	ENSG00000186468
CHEMBL4297744	ENSG00000138326
CHEMBL4297744	ENSG00000118181
CHEMBL4297744	ENSG00000197728
CHEMBL4297744	ENSG00000143947
CHEMBL4297744	ENSG00000233927
CHEMBL4297744	ENSG00000213741
CHEMBL4297744	ENSG00000149806
CHEMBL4297744	ENSG00000100316
CHEMBL4297744	ENSG00000174444
CHEMBL4297744	ENSG00000122406
CHEMBL4297744	ENSG00000089009
CHEMBL4297744	ENSG00000147604
CHEMBL4297744	ENSG00000148303
CHEMBL4297744	ENSG00000161016
CHEMBL4297744	ENSG00000163682
CHEMBL4297744	ENSG00000147403
CHEMBL4297744	ENSG00000198755
CHEMBL4297744	ENSG00000142676
CHEMBL4297744	ENSG00000197958
CHEMBL4297744	ENSG00000167526
CHEMBL4297744	ENSG00000142541
CHEMBL4297744	ENSG00000188846
CHEMBL4297744	ENSG00000174748
CHEMBL4297744	ENSG00000265681
CHEMBL4297744	ENSG00000063177
CHEMBL4297744	ENSG00000105640
CHEMBL4297744	ENSG00000108298
CHEMBL4297744	ENSG00000122026
CHEMBL4297744	ENSG00000116251
CHEMBL4297744	ENSG00000125691
CHEMBL4297744	ENSG00000198242
CHEMBL4297744	ENSG00000114391
CHEMBL4297744	ENSG00000161970
CHEMBL4297744	ENSG00000131469
CHEMBL4297744	ENSG00000166441
CHEMBL4297744	ENSG00000108107
CHEMBL4297744	ENSG00000162244
CHEMBL4297744	ENSG00000156482
CHEMBL4297744	ENSG00000071082
CHEMBL4297744	ENSG00000144713
CHEMBL4297744	ENSG00000109475
CHEMBL4297744	ENSG00000136942
CHEMBL4297744	ENSG00000182899
CHEMBL4297744	ENSG00000130255
CHEMBL4297744	ENSG00000241343
CHEMBL4297744	ENSG00000145592
CHEMBL4297744	ENSG00000197756
CHEMBL4297744	ENSG00000172809
CHEMBL4297744	ENSG00000198918
CHEMBL4297744	ENSG00000229117
CHEMBL4297744	ENSG00000089157
CHEMBL4297744	ENSG00000137818
CHEMBL4297829	ENSG00000188389
CHEMBL4297876	ENSG00000163599
CHEMBL4298150	ENSG00000170989
CHEMBL435381	ENSG00000073756
CHEMBL451	ENSG00000022355
CHEMBL451	ENSG00000145864
CHEMBL451	ENSG00000113327
CHEMBL451	ENSG00000166206
CHEMBL451	ENSG00000109158
CHEMBL451	ENSG00000182256
CHEMBL451	ENSG00000268089
CHEMBL451	ENSG00000011677
CHEMBL451	ENSG00000094755
CHEMBL451	ENSG00000187730
CHEMBL451	ENSG00000163285
CHEMBL451	ENSG00000163288
CHEMBL451	ENSG00000102287
CHEMBL451	ENSG00000151834
CHEMBL451	ENSG00000186297
CHEMBL451	ENSG00000145863
CHEMBL455136	ENSG00000137252
CHEMBL455136	ENSG00000121764
CHEMBL4594455	ENSG00000154269
CHEMBL4594455	ENSG00000188229
CHEMBL4594455	ENSG00000101162
CHEMBL4594455	ENSG00000198033
CHEMBL4594455	ENSG00000127824
CHEMBL4594455	ENSG00000258947
CHEMBL4594455	ENSG00000167552
CHEMBL4594455	ENSG00000104833
CHEMBL4594455	ENSG00000261456
CHEMBL4594455	ENSG00000196230
CHEMBL4594455	ENSG00000123416
CHEMBL4594455	ENSG00000167553
CHEMBL4594455	ENSG00000152086
CHEMBL4594455	ENSG00000137267
CHEMBL4594455	ENSG00000137285
CHEMBL4594455	ENSG00000176014
CHEMBL500	ENSG00000169252
CHEMBL500	ENSG00000043591
CHEMBL559	ENSG00000126351
CHEMBL559	ENSG00000151090
CHEMBL661	ENSG00000022355
CHEMBL661	ENSG00000145864
CHEMBL661	ENSG00000113327
CHEMBL661	ENSG00000166206
CHEMBL661	ENSG00000109158
CHEMBL661	ENSG00000182256
CHEMBL661	ENSG00000268089
CHEMBL661	ENSG00000011677
CHEMBL661	ENSG00000094755
CHEMBL661	ENSG00000187730
CHEMBL661	ENSG00000163285
CHEMBL661	ENSG00000163288
CHEMBL661	ENSG00000102287
CHEMBL661	ENSG00000151834
CHEMBL661	ENSG00000186297
CHEMBL661	ENSG00000145863
CHEMBL834	ENSG00000160752
CHEMBL855	ENSG00000196639
CHEMBL114551	ENSG00000007171
CHEMBL1200514	ENSG00000087085
CHEMBL1201142	ENSG00000069535
CHEMBL1201657	ENSG00000117601
CHEMBL1269025	ENSG00000126218
CHEMBL1705	ENSG00000150594
CHEMBL1705	ENSG00000184160
CHEMBL1705	ENSG00000274286
CHEMBL1742990	ENSG00000114013
CHEMBL1742990	ENSG00000121594
CHEMBL184999	ENSG00000122420
CHEMBL185073	ENSG00000138435
CHEMBL185073	ENSG00000196811
CHEMBL185073	ENSG00000170175
CHEMBL185073	ENSG00000135902
CHEMBL185073	ENSG00000108556
CHEMBL2028665	ENSG00000140675
CHEMBL2103864	ENSG00000180871
CHEMBL2103864	ENSG00000163464
CHEMBL2111290	ENSG00000106128
CHEMBL218166	ENSG00000149295
CHEMBL218166	ENSG00000178394
CHEMBL3544974	ENSG00000149295
CHEMBL3544974	ENSG00000102468
CHEMBL3545004	ENSG00000140443
CHEMBL3545071	ENSG00000065361
CHEMBL3545085	ENSG00000097007
CHEMBL3545085	ENSG00000010810
CHEMBL3545085	ENSG00000197122
CHEMBL3545085	ENSG00000182866
CHEMBL3545085	ENSG00000176105
CHEMBL3545085	ENSG00000136573
CHEMBL3545085	ENSG00000101336
CHEMBL3545085	ENSG00000254087
CHEMBL3545085	ENSG00000111816
CHEMBL3545085	ENSG00000000938
CHEMBL3545085	ENSG00000125508
CHEMBL3545085	ENSG00000140443
CHEMBL3545298	ENSG00000198400
CHEMBL3545298	ENSG00000148053
CHEMBL3545298	ENSG00000140538
CHEMBL3707319	ENSG00000167723
CHEMBL3833308	ENSG00000198178
CHEMBL3984425	ENSG00000105851
CHEMBL4297220	ENSG00000097007
CHEMBL4297220	ENSG00000186716
CHEMBL4297326	ENSG00000138823
CHEMBL4297326	ENSG00000185624
CHEMBL4297741	ENSG00000215644
CHEMBL4297820	ENSG00000104870
CHEMBL4298050	ENSG00000181847
CHEMBL4298089	ENSG00000147257
CHEMBL4594385	ENSG00000196083
CHEMBL4594385	ENSG00000115602
CHEMBL560993	ENSG00000183134
CHEMBL970	ENSG00000022355
CHEMBL970	ENSG00000145864
CHEMBL970	ENSG00000113327
CHEMBL970	ENSG00000166206
CHEMBL970	ENSG00000109158
CHEMBL970	ENSG00000182256
CHEMBL970	ENSG00000268089
CHEMBL970	ENSG00000011677
CHEMBL970	ENSG00000094755
CHEMBL970	ENSG00000187730
CHEMBL970	ENSG00000163285
CHEMBL970	ENSG00000163288
CHEMBL970	ENSG00000102287
CHEMBL970	ENSG00000151834
CHEMBL970	ENSG00000186297
CHEMBL970	ENSG00000145863
CHEMBL1108	ENSG00000102468
CHEMBL1108	ENSG00000149295
CHEMBL1108	ENSG00000151577
CHEMBL1108	ENSG00000069696
CHEMBL1164729	ENSG00000158125
CHEMBL1200377	ENSG00000103546
CHEMBL1200377	ENSG00000142319
CHEMBL1201653	ENSG00000171105
CHEMBL1589	ENSG00000187486
CHEMBL1589	ENSG00000006071
CHEMBL1723	ENSG00000120907
CHEMBL1723	ENSG00000171873
CHEMBL1723	ENSG00000170214
CHEMBL1742423	ENSG00000196639
CHEMBL1743063	ENSG00000019991
CHEMBL1822792	ENSG00000105976
CHEMBL1852688	ENSG00000068078
CHEMBL1852688	ENSG00000077782
CHEMBL1852688	ENSG00000160867
CHEMBL1852688	ENSG00000066468
CHEMBL2028019	ENSG00000151577
CHEMBL2028019	ENSG00000149295
CHEMBL2043437	ENSG00000128602
CHEMBL2110670	ENSG00000147246
CHEMBL2110670	ENSG00000135914
CHEMBL2110670	ENSG00000102468
CHEMBL232202	ENSG00000077498
CHEMBL3545029	ENSG00000101180
CHEMBL3678076	ENSG00000144285
CHEMBL3678076	ENSG00000183873
CHEMBL3678076	ENSG00000007314
CHEMBL3678076	ENSG00000136546
CHEMBL3678076	ENSG00000136531
CHEMBL3678076	ENSG00000169432
CHEMBL3678076	ENSG00000153253
CHEMBL3678076	ENSG00000168356
CHEMBL3678076	ENSG00000196876
CHEMBL3678076	ENSG00000185313
CHEMBL3707320	ENSG00000165731
CHEMBL3707320	ENSG00000171094
CHEMBL3707320	ENSG00000143924
CHEMBL3833372	ENSG00000113302
CHEMBL3833372	ENSG00000110944
CHEMBL3907479	ENSG00000077782
CHEMBL3907479	ENSG00000068078
CHEMBL3907479	ENSG00000066468
CHEMBL3989562	ENSG00000120907
CHEMBL3989562	ENSG00000171873
CHEMBL3989562	ENSG00000170214
CHEMBL4228124	ENSG00000196517
CHEMBL4297909	ENSG00000113578
CHEMBL4297909	ENSG00000134962
CHEMBL4297945	ENSG00000185010
CHEMBL4303201	ENSG00000128052
CHEMBL4303201	ENSG00000113721
CHEMBL4303201	ENSG00000037280
CHEMBL4303201	ENSG00000157404
CHEMBL52333	ENSG00000163485
CHEMBL592054	ENSG00000186951
CHEMBL592054	ENSG00000132170
CHEMBL92	ENSG00000188229
CHEMBL92	ENSG00000101162
CHEMBL92	ENSG00000198033
CHEMBL92	ENSG00000127824
CHEMBL92	ENSG00000258947
CHEMBL92	ENSG00000167552
CHEMBL92	ENSG00000104833
CHEMBL92	ENSG00000261456
CHEMBL92	ENSG00000196230
CHEMBL92	ENSG00000123416
CHEMBL92	ENSG00000167553
CHEMBL92	ENSG00000152086
CHEMBL92	ENSG00000137267
CHEMBL92	ENSG00000137285
CHEMBL92	ENSG00000176014
CHEMBL1034	ENSG00000073756
CHEMBL1034	ENSG00000095303
CHEMBL1200654	ENSG00000144285
CHEMBL1200654	ENSG00000183873
CHEMBL1200654	ENSG00000007314
CHEMBL1200654	ENSG00000136546
CHEMBL1200654	ENSG00000136531
CHEMBL1200654	ENSG00000169432
CHEMBL1200654	ENSG00000153253
CHEMBL1200654	ENSG00000168356
CHEMBL1200654	ENSG00000196876
CHEMBL1200654	ENSG00000185313
CHEMBL1201012	ENSG00000113580
